2026-07-17 17:40:03,740 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-17 17:44:31,687 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-09-24 07:39:22,362 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:39:22,380 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:39:22,382 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:39:22,382 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:39:22,382 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:39:22,540 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:39:23,007 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:39:23,008 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:39:23,051 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:39:23,051 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:39:23,182 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
2026-09-24 07:39:23,287 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:39:23,287 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:39:23,482 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:41:37,435 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:41:37,444 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:41:37,449 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:41:37,486 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:41:37,489 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:41:37,490 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:41:37,490 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:41:37,711 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:41:38,735 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:41:38,736 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:41:38,740 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:41:38,740 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:41:38,992 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
2026-09-24 07:41:39,248 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:41:39,249 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:41:39,413 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:42:04,708 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:42:04,711 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:42:04,714 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:42:04,736 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:42:04,740 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:42:04,742 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
